,Problem Number,Problem Statement,Input Specifications,Output Specifications
0,4A,"One hot summer day Pete and his friend Billy decided to buy a watermelon. They chose the biggest and the ripest one, in their opinion. After that the watermelon was weighed, and the scales showed <span class=""tex-span""><i>w</i></span> kilos. They rushed home, dying of thirst, and decided to divide the berry, however they faced a hard problem.Pete and Billy are great fans of even numbers, that's why they want to divide the watermelon in such a way that each of the two parts weighs even number of kilos, at the same time it is not obligatory that the parts are equal. The boys are extremely tired and want to start their meal as soon as possible, that's why you should help them and find out, if they can divide the watermelon in the way they want. For sure, each of them should get a part of positive weight.",The first (and the only) input line contains integer number w (1 ≤ w ≤ 100) — the weight of the watermelon bought by the boys.,"Print YES, if the boys can divide the watermelon into two parts, each of them weighing even number of kilos; and NO in the opposite case."
1,1A,"Theatre Square in the capital city of Berland has a rectangular shape with the size <span class=""tex-span""><i>n</i> × <i>m</i></span> meters. On the occasion of the city's anniversary, a decision was taken to pave the Square with square granite flagstones. Each flagstone is of the size <span class=""tex-span""><i>a</i> × <i>a</i></span>.What is the least number of flagstones needed to pave the Square? It's allowed to cover the surface larger than the Theatre Square, but the Square has to be covered. It's not allowed to break the flagstones. The sides of flagstones should be parallel to the sides of the Square.","The input contains three positive integer numbers in the first line: n,  m and a (1 ≤  n, m, a ≤ 109).",Write the needed number of flagstones.
2,71A,"Sometimes some words like ""<span class=""tex-font-style-tt"">localization</span>"" or ""<span class=""tex-font-style-tt"">internationalization</span>"" are so long that writing them many times in one text is quite tiresome.Let's consider a word <span class=""tex-font-style-it"">too long</span>, if its length is <span class=""tex-font-style-bf"">strictly more</span> than <span class=""tex-span"">10</span> characters. All too long words should be replaced with a special abbreviation.This abbreviation is made like this: we write down the first and the last letter of a word and between them we write the number of letters between the first and the last letters. That number is in decimal system and doesn't contain any leading zeroes.Thus, ""<span class=""tex-font-style-tt"">localization</span>"" will be spelt as ""<span class=""tex-font-style-tt"">l10n</span>"", and ""<span class=""tex-font-style-tt"">internationalization</span>» will be spelt as ""<span class=""tex-font-style-tt"">i18n</span>"".You are suggested to automatize the process of changing the words with abbreviations. At that all too long words should be replaced by the abbreviation and the words that are not too long should not undergo any changes.",The first line contains an integer n (1 ≤ n ≤ 100). Each of the following n lines contains one word. All the words consist of lowercase Latin letters and possess the lengths of from 1 to 100 characters.,Print n lines. The i-th line should contain the result of replacing of the i-th word from the input data.
3,158A,"""Contestant who earns a score equal to or greater than the <span class=""tex-span""><i>k</i></span>-th place finisher's score will advance to the next round, as long as the contestant earns a positive score..."" — an excerpt from contest rules.A total of <span class=""tex-span""><i>n</i></span> participants took part in the contest (<span class=""tex-span""><i>n</i> ≥ <i>k</i></span>), and you already know their scores. Calculate how many participants will advance to the next round.","The first line of the input contains two integers n and k (1 ≤ k ≤ n ≤ 50) separated by a single space.The second line contains n space-separated integers a1, a2, ..., an (0 ≤ ai ≤ 100), where ai is the score earned by the participant who got the i-th place. The given sequence is non-increasing (that is, for all i from 1 to n - 1 the following condition is fulfilled: ai ≥ ai + 1).",Output the number of participants who advance to the next round.
4,118A,"Petya started to attend programming lessons. On the first lesson his task was to write a simple program. The program was supposed to do the following: in the given string, consisting if uppercase and lowercase Latin letters, it: <ul> <li> deletes all the vowels, </li><li> inserts a character ""<span class=""tex-font-style-tt"">.</span>"" before each consonant, </li><li> replaces all uppercase consonants with corresponding lowercase ones. </li></ul>Vowels are letters ""A"", ""O"", ""Y"", ""E"", ""U"", ""I"", and the rest are consonants. The program's input is exactly one string, it should return the output as a single string, resulting after the program's processing the initial string.Help Petya cope with this easy task.","The first line represents input string of Petya's program. This string only consists of uppercase and lowercase Latin letters and its length is from 1 to 100, inclusive.",Print the resulting string. It is guaranteed that this string is not empty.
5,231A,"One day three best friends Petya, Vasya and Tonya decided to form a team and take part in programming contests. Participants are usually offered several problems during programming contests. Long before the start the friends decided that they will implement a problem if at least two of them are sure about the solution. Otherwise, the friends won't write the problem's solution.This contest offers <span class=""tex-span""><i>n</i></span> problems to the participants. For each problem we know, which friend is sure about the solution. Help the friends find the number of problems for which they will write a solution.","The first input line contains a single integer n (1 ≤ n ≤ 1000) — the number of problems in the contest. Then n lines contain three integers each, each integer is either 0 or 1. If the first number in the line equals 1, then Petya is sure about the problem's solution, otherwise he isn't sure. The second number shows Vasya's view on the solution, the third number shows Tonya's view. The numbers on the lines are separated by spaces.",Print a single integer — the number of problems the friends will implement on the contest.
6,50A,"You are given a rectangular board of <span class=""tex-span""><i>M</i> × <i>N</i></span> squares. Also you are given an unlimited number of standard domino pieces of <span class=""tex-span"">2 × 1</span> squares. You are allowed to rotate the pieces. You are asked to place as many dominoes as possible on the board so as to meet the following conditions:1. Each domino completely covers two squares.2. No two dominoes overlap.3. Each domino lies entirely inside the board. It is allowed to touch the edges of the board.Find the maximum number of dominoes, which can be placed under these restrictions.",In a single line you are given two integers M and N — board sizes in squares (1 ≤ M ≤ N ≤ 16).,"Output one number — the maximal number of dominoes, which can be placed."
7,282A,"The classic programming language of Bitland is Bit++. This language is so peculiar and complicated.The language is that peculiar as it has exactly one variable, called <span class=""tex-span""><i>x</i></span>. Also, there are two operations:<ul> <li> Operation <span class=""tex-font-style-tt"">++</span> increases the value of variable <span class=""tex-span""><i>x</i></span> by 1. </li><li> Operation <span class=""tex-font-style-tt"">--</span> decreases the value of variable <span class=""tex-span""><i>x</i></span> by 1. </li></ul>A statement in language Bit++ is a sequence, consisting of exactly one operation and one variable <span class=""tex-span""><i>x</i></span>. The statement is written without spaces, that is, it can only contain characters ""<span class=""tex-font-style-tt"">+</span>"", ""<span class=""tex-font-style-tt"">-</span>"", ""<span class=""tex-font-style-tt"">X</span>"". Executing a statement means applying the operation it contains.A programme in Bit++ is a sequence of statements, each of them needs to be executed. Executing a programme means executing all the statements it contains.You're given a programme in language Bit++. The initial value of <span class=""tex-span""><i>x</i></span> is <span class=""tex-span"">0</span>. Execute the programme and find its final value (the value of the variable when this programme is executed).","The first line contains a single integer n (1 ≤ n ≤ 150) — the number of statements in the programme.Next n lines contain a statement each. Each statement contains exactly one operation (++ or --) and exactly one variable x (denoted as letter «X»). Thus, there are no empty statements. The operation and the variable can be written in any order.",Print a single integer — the final value of x.
8,112A,"Little Petya loves presents. His mum bought him two strings of the same size for his birthday. The strings consist of uppercase and lowercase Latin letters. Now Petya wants to compare those two strings <span class=""tex-font-style-underline"">lexicographically</span>. The letters' case does not matter, that is an uppercase letter is considered equivalent to the corresponding lowercase letter. Help Petya perform the comparison.",Each of the first two lines contains a bought string. The strings' lengths range from 1 to 100 inclusive. It is guaranteed that the strings are of the same length and also consist of uppercase and lowercase Latin letters.,"If the first string is less than the second one, print ""-1"". If the second string is less than the first one, print ""1"". If the strings are equal, print ""0"". Note that the letters' case is not taken into consideration when the strings are compared."
9,96A,"Petya loves football very much. One day, as he was watching a football match, he was writing the players' current positions on a piece of paper. To simplify the situation he depicted it as a string consisting of zeroes and ones. A zero corresponds to players of one team; a one corresponds to players of another team. If there are at least <span class=""tex-span"">7</span> players of some team standing one after another, then the situation is considered dangerous. For example, the situation <span class=""tex-span"">00100110111111101</span> is dangerous and <span class=""tex-span"">11110111011101</span> is not. You are given the current situation. Determine whether it is dangerous or not.","The first input line contains a non-empty string consisting of characters ""0"" and ""1"", which represents players. The length of the string does not exceed 100 characters. There's at least one player from each team present on the field.","Print ""YES"" if the situation is dangerous. Otherwise, print ""NO""."
