,Problem Number,Problem Rating,Link,Problem Statement,Input Specifications,Output Specifications
0,750A,800,https://codeforces.com/problemset/problem/750/A,"Limak is going to participate in a contest on the last day of the 2016. The contest will start at 20:00 and will last four hours, exactly until midnight. There will be <span class=""tex-span""><i>n</i></span> problems, sorted by difficulty, i.e. problem <span class=""tex-span"">1</span> is the easiest and problem <span class=""tex-span""><i>n</i></span> is the hardest. Limak knows it will take him <span class=""tex-span"">5·<i>i</i></span> minutes to solve the <span class=""tex-span""><i>i</i></span>-th problem.Limak's friends organize a New Year's Eve party and Limak wants to be there at midnight or earlier. He needs <span class=""tex-span""><i>k</i></span> minutes to get there from his house, where he will participate in the contest first.How many problems can Limak solve if he wants to make it to the party?","The only line of the input contains two integers n and k (1 ≤ n ≤ 10, 1 ≤ k ≤ 240) — the number of the problems in the contest and the number of minutes Limak needs to get to the party from his house.","Print one integer, denoting the maximum possible number of problems Limak can solve so that he could get to the party at midnight or earlier."
1,1138A,900,https://codeforces.com/problemset/problem/1138/A,"Arkady invited Anna for a dinner to a sushi restaurant. The restaurant is a bit unusual: it offers $$$n$$$ pieces of sushi aligned in a row, and a customer has to choose a continuous subsegment of these sushi to buy.The pieces of sushi are of two types: either with tuna or with eel. Let's denote the type of the $$$i$$$-th from the left sushi as $$$t_i$$$, where $$$t_i = 1$$$ means it is with tuna, and $$$t_i = 2$$$ means it is with eel.Arkady does not like tuna, Anna does not like eel. Arkady wants to choose such a continuous subsegment of sushi that it has equal number of sushi of each type and each half of the subsegment has only sushi of one type. For example, subsegment $$$[2, 2, 2, 1, 1, 1]$$$ is valid, but subsegment $$$[1, 2, 1, 2, 1, 2]$$$ is not, because both halves contain both types of sushi.Find the length of the longest continuous subsegment of sushi Arkady can buy.","The first line contains a single integer $$$n$$$ ($$$2 \le n \le 100\,000$$$) — the number of pieces of sushi.The second line contains $$$n$$$ integers $$$t_1$$$, $$$t_2$$$, ..., $$$t_n$$$ ($$$t_i = 1$$$, denoting a sushi with tuna or $$$t_i = 2$$$, denoting a sushi with eel), representing the types of sushi from left to right.It is guaranteed that there is at least one piece of sushi of each type. Note that it means that there is at least one valid continuous segment.",Print a single integer — the maximum length of a valid continuous segment.
2,202A,900,https://codeforces.com/problemset/problem/202/A,"<span class=""tex-font-style-underline"">This problem's actual name, ""Lexicographically Largest Palindromic Subsequence"" is too long to fit into the page headline.</span>You are given string <span class=""tex-span""><i>s</i></span> consisting of lowercase English letters only. Find its lexicographically largest palindromic subsequence.We'll call a non-empty string <span class=""tex-span""><i>s</i>[<i>p</i><sub class=""lower-index"">1</sub></span><span class=""tex-span""><i>p</i><sub class=""lower-index"">2</sub>... <i>p</i><sub class=""lower-index""><i>k</i></sub>]</span> = <span class=""tex-span""><i>s</i><sub class=""lower-index""><i>p</i><sub class=""lower-index"">1</sub></sub><i>s</i><sub class=""lower-index""><i>p</i><sub class=""lower-index"">2</sub></sub>... <i>s</i><sub class=""lower-index""><i>p</i><sub class=""lower-index""><i>k</i></sub></sub></span> (<span class=""tex-span"">1</span> <span class=""tex-span""> ≤ </span> <span class=""tex-span""><i>p</i><sub class=""lower-index"">1</sub> &lt; <i>p</i><sub class=""lower-index"">2</sub> &lt; ... &lt; <i>p</i><sub class=""lower-index""><i>k</i></sub></span> <span class=""tex-span""> ≤ </span> <span class=""tex-span"">|<i>s</i>|</span>) a <span class=""tex-font-style-underline"">subsequence</span> of string <span class=""tex-span""><i>s</i></span> = <span class=""tex-span""><i>s</i><sub class=""lower-index"">1</sub></span><span class=""tex-span""><i>s</i><sub class=""lower-index"">2</sub>... <i>s</i><sub class=""lower-index"">|<i>s</i>|</sub></span>, where <span class=""tex-span"">|<i>s</i>|</span> is the length of string <span class=""tex-span""><i>s</i></span>. For example, strings ""<span class=""tex-font-style-tt"">abcb</span>"", ""<span class=""tex-font-style-tt"">b</span>"" and ""<span class=""tex-font-style-tt"">abacaba</span>"" are subsequences of string ""<span class=""tex-font-style-tt"">abacaba</span>"".String <span class=""tex-span""><i>x</i></span> = <span class=""tex-span""><i>x</i><sub class=""lower-index"">1</sub></span><span class=""tex-span""><i>x</i><sub class=""lower-index"">2</sub>... <i>x</i><sub class=""lower-index"">|<i>x</i>|</sub></span> is <span class=""tex-font-style-underline"">lexicographically larger</span> than string <span class=""tex-span""><i>y</i></span> = <span class=""tex-span""><i>y</i><sub class=""lower-index"">1</sub></span><span class=""tex-span""><i>y</i><sub class=""lower-index"">2</sub>... <i>y</i><sub class=""lower-index"">|<i>y</i>|</sub></span> if either <span class=""tex-span"">|<i>x</i>|</span> &gt; <span class=""tex-span"">|<i>y</i>|</span> and <span class=""tex-span""><i>x</i><sub class=""lower-index"">1</sub> = <i>y</i><sub class=""lower-index"">1</sub></span>, <span class=""tex-span""><i>x</i><sub class=""lower-index"">2</sub> = <i>y</i><sub class=""lower-index"">2</sub></span>, ..., <span class=""tex-span""><i>x</i><sub class=""lower-index"">|<i>y</i>|</sub> = <i>y</i><sub class=""lower-index"">|<i>y</i>|</sub></span>, or there exists such number <span class=""tex-span""><i>r</i></span> (<span class=""tex-span""><i>r</i> &lt; |<i>x</i>|</span>, <span class=""tex-span""><i>r</i> &lt; |<i>y</i>|</span>) that <span class=""tex-span""><i>x</i><sub class=""lower-index"">1</sub> = <i>y</i><sub class=""lower-index"">1</sub></span>, <span class=""tex-span""><i>x</i><sub class=""lower-index"">2</sub> = <i>y</i><sub class=""lower-index"">2</sub></span>, ..., <span class=""tex-span""><i>x</i><sub class=""lower-index""><i>r</i></sub> = <i>y</i><sub class=""lower-index""><i>r</i></sub></span> and <span class=""tex-span""><i>x</i><sub class=""lower-index""><i>r</i>  +  1</sub> &gt; <i>y</i><sub class=""lower-index""><i>r</i>  +  1</sub></span>. Characters in the strings are compared according to their ASCII codes. For example, string ""<span class=""tex-font-style-tt"">ranger</span>"" is lexicographically larger than string ""<span class=""tex-font-style-tt"">racecar</span>"" and string ""<span class=""tex-font-style-tt"">poster</span>"" is lexicographically larger than string ""<span class=""tex-font-style-tt"">post</span>"".String <span class=""tex-span""><i>s</i></span> = <span class=""tex-span""><i>s</i><sub class=""lower-index"">1</sub></span><span class=""tex-span""><i>s</i><sub class=""lower-index"">2</sub>... <i>s</i><sub class=""lower-index"">|<i>s</i>|</sub></span> is a <span class=""tex-font-style-underline"">palindrome</span> if it matches string <span class=""tex-span""><i>rev</i>(<i>s</i>)</span> = <span class=""tex-span""><i>s</i><sub class=""lower-index"">|<i>s</i>|</sub></span><span class=""tex-span""><i>s</i><sub class=""lower-index"">|<i>s</i>| - 1</sub>... <i>s</i><sub class=""lower-index"">1</sub></span>. In other words, a string is a palindrome if it reads the same way from left to right and from right to left. For example, palindromic strings are ""<span class=""tex-font-style-tt"">racecar</span>"", ""<span class=""tex-font-style-tt"">refer</span>"" and ""<span class=""tex-font-style-tt"">z</span>"".",The only input line contains a non-empty string s consisting of lowercase English letters only. Its length does not exceed 10.,Print the lexicographically largest palindromic subsequence of string s.
3,978C,1000,https://codeforces.com/problemset/problem/978/C,"There are $$$n$$$ dormitories in Berland State University, they are numbered with integers from $$$1$$$ to $$$n$$$. Each dormitory consists of rooms, there are $$$a_i$$$ rooms in $$$i$$$-th dormitory. The rooms in $$$i$$$-th dormitory are numbered from $$$1$$$ to $$$a_i$$$.A postman delivers letters. Sometimes there is no specific dormitory and room number in it on an envelope. Instead of it only a room number among all rooms of all $$$n$$$ dormitories is written on an envelope. In this case, assume that all the rooms are numbered from $$$1$$$ to $$$a_1 + a_2 + \dots + a_n$$$ and the rooms of the first dormitory go first, the rooms of the second dormitory go after them and so on.For example, in case $$$n=2$$$, $$$a_1=3$$$ and $$$a_2=5$$$ an envelope can have any integer from $$$1$$$ to $$$8$$$ written on it. If the number $$$7$$$ is written on an envelope, it means that the letter should be delivered to the room number $$$4$$$ of the second dormitory.For each of $$$m$$$ letters by the room number among all $$$n$$$ dormitories, determine the particular dormitory and the room number in a dormitory where this letter should be delivered.","The first line contains two integers $$$n$$$ and $$$m$$$ $$$(1 \le n, m \le 2 \cdot 10^{5})$$$ — the number of dormitories and the number of letters.The second line contains a sequence $$$a_1, a_2, \dots, a_n$$$ $$$(1 \le a_i \le 10^{10})$$$, where $$$a_i$$$ equals to the number of rooms in the $$$i$$$-th dormitory. The third line contains a sequence $$$b_1, b_2, \dots, b_m$$$ $$$(1 \le b_j \le a_1 + a_2 + \dots + a_n)$$$, where $$$b_j$$$ equals to the room number (among all rooms of all dormitories) for the $$$j$$$-th letter. All $$$b_j$$$ are given in increasing order.",Print $$$m$$$ lines. For each letter print two integers $$$f$$$ and $$$k$$$ — the dormitory number $$$f$$$ $$$(1 \le f \le n)$$$ and the room number $$$k$$$ in this dormitory $$$(1 \le k \le a_f)$$$ to deliver the letter.
4,706B,1100,https://codeforces.com/problemset/problem/706/B,"Vasiliy likes to rest after a hard work, so you may often meet him in some bar nearby. As all programmers do, he loves the famous drink ""<span class=""tex-font-style-tt"">Beecola</span>"", which can be bought in <span class=""tex-span""><i>n</i></span> different shops in the city. It's known that the price of one bottle in the shop <span class=""tex-span""><i>i</i></span> is equal to <span class=""tex-span""><i>x</i><sub class=""lower-index""><i>i</i></sub></span> coins.Vasiliy plans to buy his favorite drink for <span class=""tex-span""><i>q</i></span> consecutive days. He knows, that on the <span class=""tex-span""><i>i</i></span>-th day he will be able to spent <span class=""tex-span""><i>m</i><sub class=""lower-index""><i>i</i></sub></span> coins. Now, for each of the days he want to know in how many different shops he can buy a bottle of ""<span class=""tex-font-style-tt"">Beecola</span>"".",The first line of the input contains a single integer n (1 ≤ n ≤ 100 000) — the number of shops in the city that sell Vasiliy's favourite drink.The second line contains n integers xi (1 ≤ xi ≤ 100 000) — prices of the bottles of the drink in the i-th shop.The third line contains a single integer q (1 ≤ q ≤ 100 000) — the number of days Vasiliy plans to buy the drink.Then follow q lines each containing one integer mi (1 ≤ mi ≤ 109) — the number of coins Vasiliy can spent on the i-th day.,Print q integers. The i-th of them should be equal to the number of shops where Vasiliy will be able to buy a bottle of the drink on the i-th day.
5,919B,1100,https://codeforces.com/problemset/problem/919/B,"We consider a positive integer perfect, if and only if the sum of its digits is exactly $$$10$$$. Given a positive integer $$$k$$$, your task is to find the $$$k$$$-th smallest perfect positive integer.","A single line with a positive integer $$$k$$$ ($$$1 \leq k \leq 10\,000$$$).","A single number, denoting the $$$k$$$-th smallest perfect integer."
6,1195B,1100,https://codeforces.com/problemset/problem/1195/B,"Each evening after the dinner the SIS's students gather together to play the game of Sport Mafia. For the tournament, Alya puts candies into the box, which will serve as a prize for a winner. To do that, she performs $$$n$$$ actions. The first action performed is to put a single candy into the box. For each of the remaining moves she can choose from two options:<ul> <li> the first option, in case the box contains at least one candy, is to take <span class=""tex-font-style-bf"">exactly one candy out and eat it</span>. This way the number of candies in the box decreased by $$$1$$$; </li><li> the second option is to put candies in the box. In this case, Alya will put $$$1$$$ more candy, than she put in the previous time. </li></ul>Thus, if the box is empty, then it can only use the second option.For example, one possible sequence of Alya's actions look as follows:<ul> <li> put one candy into the box; </li><li> put two candies into the box; </li><li> eat one candy from the box; </li><li> eat one candy from the box; </li><li> put three candies into the box; </li><li> eat one candy from the box; </li><li> put four candies into the box; </li><li> eat one candy from the box; </li><li> put five candies into the box; </li></ul>This way she will perform $$$9$$$ actions, the number of candies at the end will be $$$11$$$, while Alya will eat $$$4$$$ candies in total.You know the total number of actions $$$n$$$ and the number of candies at the end $$$k$$$. You need to find the total number of sweets Alya ate. That is the number of moves of the first option. It's guaranteed, that for the given $$$n$$$ and $$$k$$$ the answer always exists.Please note, that during an action of the first option, Alya takes out and eats exactly one candy.","The first line contains two integers $$$n$$$ and $$$k$$$ ($$$1 \le n \le 10^9$$$; $$$0 \le k \le 10^9$$$) — the total number of moves and the number of candies in the box at the end. It's guaranteed, that for the given $$$n$$$ and $$$k$$$ the answer exists.","Print a single integer — the number of candies, which Alya ate. Please note, that in this problem there aren't multiple possible answers — the answer is unique for any input data. "
7,1099B,1100,https://codeforces.com/problemset/problem/1099/B,"Little Sofia is in fourth grade. Today in the geometry lesson she learned about segments and squares. On the way home, she decided to draw $$$n$$$ squares in the snow with a side length of $$$1$$$. For simplicity, we assume that Sofia lives on a plane and can draw only segments of length $$$1$$$, parallel to the coordinate axes, with vertices at integer points.In order to draw a segment, Sofia proceeds as follows. If she wants to draw a vertical segment with the coordinates of the ends $$$(x, y)$$$ and $$$(x, y+1)$$$. Then Sofia looks if there is already a drawn segment with the coordinates of the ends $$$(x', y)$$$ and $$$(x', y+1)$$$ for some $$$x'$$$. If such a segment exists, then Sofia quickly draws a new segment, using the old one as a guideline. If there is no such segment, then Sofia has to take a ruler and measure a new segment for a long time. Same thing happens when Sofia wants to draw a horizontal segment, but only now she checks for the existence of a segment with the same coordinates $$$x$$$, $$$x+1$$$ and the differing coordinate $$$y$$$.For example, if Sofia needs to draw one square, she will have to draw two segments using a ruler: <center> <img class=""tex-graphics"" src=""/predownloaded/cd/ed/cded20992c4146e18e3511dc7d53ef82335523a5.png"" style=""max-width: 100.0%;max-height: 100.0%;""/> </center>After that, she can draw the remaining two segments, using the first two as a guide: <center> <img class=""tex-graphics"" src=""/predownloaded/80/df/80dffb44e0814301d2ad11f4070b155b39148bf7.png"" style=""max-width: 100.0%;max-height: 100.0%;""/> </center>If Sofia needs to draw two squares, she will have to draw three segments using a ruler: <center> <img class=""tex-graphics"" src=""/predownloaded/57/bb/57bb3a91d0b7524c03e601c40ab6aea05afbe70f.png"" style=""max-width: 100.0%;max-height: 100.0%;""/> </center>After that, she can draw the remaining four segments, using the first three as a guide: <center> <img class=""tex-graphics"" src=""/predownloaded/c3/89/c3894430fdab6a80e512b0f85b2f9ebdd0e44e58.png"" style=""max-width: 100.0%;max-height: 100.0%;""/> </center>Sofia is in a hurry, so she wants to minimize the number of segments that she will have to draw with a ruler without a guide. Help her find this minimum number.","The only line of input contains a single integer $$$n$$$ ($$$1 \le n \le 10^{9}$$$), the number of squares that Sofia wants to draw.","Print single integer, the minimum number of segments that Sofia will have to draw with a ruler without a guide in order to draw $$$n$$$ squares in the manner described above."
8,195A,1100,https://codeforces.com/problemset/problem/195/A,"Valeric and Valerko missed the last Euro football game, so they decided to watch the game's key moments on the Net. They want to start watching as soon as possible but the connection speed is too low. If they turn on the video right now, it will ""hang up"" as the size of data to watch per second will be more than the size of downloaded data per second.The guys want to watch the whole video without any pauses, so they have to wait some <span class=""tex-font-style-bf"">integer</span> number of seconds for a part of the video to download. After this number of seconds passes, they can start watching. Waiting for the whole video to download isn't necessary as the video can download after the guys started to watch.Let's suppose that video's length is <span class=""tex-span""><i>c</i></span> seconds and Valeric and Valerko wait <span class=""tex-span""><i>t</i></span> seconds before the watching. Then for any moment of time <span class=""tex-span""><i>t</i><sub class=""lower-index"">0</sub></span>, <span class=""tex-span""><i>t</i> ≤ <i>t</i><sub class=""lower-index"">0</sub> ≤ <i>c</i> + <i>t</i></span>, the following condition must fulfill: the size of data received in <span class=""tex-span""><i>t</i><sub class=""lower-index"">0</sub></span> seconds is not less than the size of data needed to watch <span class=""tex-span""><i>t</i><sub class=""lower-index"">0</sub> - <i>t</i></span> seconds of the video.Of course, the guys want to wait as little as possible, so your task is to find the minimum integer number of seconds to wait before turning the video on. The guys must watch the video without pauses.","The first line contains three space-separated integers a, b and c (1 ≤ a, b, c ≤ 1000, a > b). The first number (a) denotes the size of data needed to watch one second of the video. The second number (b) denotes the size of data Valeric and Valerko can download from the Net per second. The third number (c) denotes the video's length in seconds.",Print a single number — the minimum integer number of seconds that Valeric and Valerko must wait to watch football without pauses.
9,492B,1200,https://codeforces.com/problemset/problem/492/B,"Vanya walks late at night along a straight street of length <span class=""tex-span""><i>l</i></span>, lit by <span class=""tex-span""><i>n</i></span> lanterns. Consider the coordinate system with the beginning of the street corresponding to the point <span class=""tex-span"">0</span>, and its end corresponding to the point <span class=""tex-span""><i>l</i></span>. Then the <span class=""tex-span""><i>i</i></span>-th lantern is at the point <span class=""tex-span""><i>a</i><sub class=""lower-index""><i>i</i></sub></span>. The lantern lights all points of the street that are at the distance of at most <span class=""tex-span""><i>d</i></span> from it, where <span class=""tex-span""><i>d</i></span> is some positive number, common for all lanterns. Vanya wonders: what is the minimum light radius <span class=""tex-span""><i>d</i></span> should the lanterns have to light the whole street?","The first line contains two integers n, l (1 ≤ n ≤ 1000, 1 ≤ l ≤ 109) — the number of lanterns and the length of the street respectively. The next line contains n integers ai (0 ≤ ai ≤ l). Multiple lanterns can be located at the same point. The lanterns may be located at the ends of the street.","Print the minimum light radius d, needed to light the whole street. The answer will be considered correct if its absolute or relative error doesn't exceed 10 - 9."
